Data;"Dolar S.U.A.-Leu moldovenesc"
25.11.2009;11.0856
26.11.2009;11.0966
27.11.2009;11.1023
28.11.2009;11.1023
29.11.2009;11.1023
30.11.2009;11.1059
01.12.2009;11.1075
02.12.2009;11.1125
03.12.2009;11.1167
04.12.2009;11.1371
05.12.2009;11.1371
06.12.2009;11.1371
07.12.2009;11.1699
08.12.2009;11.3454
09.12.2009;11.5009
10.12.2009;11.6026
11.12.2009;11.8361
12.12.2009;12.155
13.12.2009;12.155
14.12.2009;12.2268
15.12.2009;12.2924
16.12.2009;12.3081
17.12.2009;12.3135
18.12.2009;12.2992
19.12.2009;12.2992
20.12.2009;12.2992
21.12.2009;12.3096
22.12.2009;12.2997
23.12.2009;12.3064
24.12.2009;12.3064
25.12.2009;12.3064
26.12.2009;12.3064
27.12.2009;12.3064
28.12.2009;12.2985
29.12.2009;12.3017
30.12.2009;12.3006
31.12.2009;12.3017
01.01.2010;12.3017
02.01.2010;12.3017
03.01.2010;12.3017
04.01.2010;12.3017
05.01.2010;12.3017
06.01.2010;12.3017
07.01.2010;12.3017
08.01.2010;12.3017
09.01.2010;12.3017
10.01.2010;12.3017
11.01.2010;12.3165
12.01.2010;12.3047
13.01.2010;12.2879
14.01.2010;12.289
15.01.2010;12.282
16.01.2010;12.26
17.01.2010;12.26
18.01.2010;12.266
19.01.2010;12.2951
20.01.2010;12.3368
21.01.2010;12.464
22.01.2010;12.5152
23.01.2010;12.5152
24.01.2010;12.5152
25.01.2010;12.5064
26.01.2010;12.5003
27.01.2010;12.5041
28.01.2010;12.5094
29.01.2010;12.5289
30.01.2010;12.5289
31.01.2010;12.5289
01.02.2010;12.5518
02.02.2010;12.5995
03.02.2010;12.7136
04.02.2010;12.7766
05.02.2010;12.7669
06.02.2010;12.7669
07.02.2010;12.7669
08.02.2010;12.7514
09.02.2010;12.7316
10.02.2010;12.7305
11.02.2010;12.7289
12.02.2010;12.7315
13.02.2010;12.7347
14.02.2010;12.7347
15.02.2010;12.7388
16.02.2010;12.7385
17.02.2010;12.749
18.02.2010;12.755
19.02.2010;12.7572
20.02.2010;12.7572
21.02.2010;12.7572
22.02.2010;12.7682
23.02.2010;12.7773
24.02.2010;12.7855
25.02.2010;12.7996
26.02.2010;12.8042
27.02.2010;12.8042
28.02.2010;12.8042
01.03.2010;12.7993
02.03.2010;12.8024
03.03.2010;12.7864
04.03.2010;12.7797
05.03.2010;12.7636
06.03.2010;12.7636
07.03.2010;12.7636
08.03.2010;12.7636
09.03.2010;12.7431
10.03.2010;12.7315
11.03.2010;12.681
12.03.2010;12.6526
13.03.2010;12.6033
14.03.2010;12.6033
15.03.2010;12.5771
16.03.2010;12.5215
17.03.2010;12.5191
18.03.2010;12.4748
19.03.2010;12.4703
20.03.2010;12.4703
21.03.2010;12.4703
22.03.2010;12.4617
23.03.2010;12.4569
24.03.2010;12.4537
25.03.2010;12.444
26.03.2010;12.4307
27.03.2010;12.4307
28.03.2010;12.4307
29.03.2010;12.4239
30.03.2010;12.4168
31.03.2010;12.4042
01.04.2010;12.3928
02.04.2010;12.3884
03.04.2010;12.3884
04.04.2010;12.3884
05.04.2010;12.3884
06.04.2010;12.3863
07.04.2010;12.3777
08.04.2010;12.3771
09.04.2010;12.3849
10.04.2010;12.3849
11.04.2010;12.3849
12.04.2010;12.3849
13.04.2010;12.401
14.04.2010;12.4296
15.04.2010;12.4669
16.04.2010;12.5168
17.04.2010;12.5168
18.04.2010;12.5168
19.04.2010;12.5681
20.04.2010;12.5649
21.04.2010;12.5854
22.04.2010;12.598
23.04.2010;12.5937
24.04.2010;12.5937
25.04.2010;12.5937
26.04.2010;12.5883
27.04.2010;12.5789
28.04.2010;12.5755
29.04.2010;12.5765
30.04.2010;12.5932
01.05.2010;12.5932
02.05.2010;12.5932
03.05.2010;12.6004
04.05.2010;12.617
05.05.2010;12.6197
06.05.2010;12.6133
07.05.2010;12.6071
08.05.2010;12.6071
09.05.2010;12.6071
10.05.2010;12.6032
11.05.2010;12.5731
12.05.2010;12.5517
13.05.2010;12.5422
14.05.2010;12.5455
15.05.2010;12.5455
16.05.2010;12.5455
17.05.2010;12.5877
18.05.2010;12.6324
19.05.2010;12.6852
20.05.2010;12.7194
21.05.2010;12.7824
22.05.2010;12.7824
23.05.2010;12.7824
24.05.2010;12.7809
25.05.2010;12.7754
26.05.2010;12.7738
27.05.2010;12.7654
28.05.2010;12.7851
29.05.2010;12.7851
30.05.2010;12.7851
31.05.2010;12.8337
01.06.2010;12.8838
02.06.2010;12.9232
03.06.2010;12.9381
04.06.2010;12.9463
05.06.2010;12.9463
06.06.2010;12.9463
07.06.2010;12.9389
08.06.2010;12.9247
09.06.2010;12.9159
10.06.2010;12.9067
11.06.2010;12.912
12.06.2010;12.912
13.06.2010;12.912
14.06.2010;12.9093
15.06.2010;12.9049
16.06.2010;12.9017
17.06.2010;12.8929
18.06.2010;12.8919
19.06.2010;12.8919
20.06.2010;12.8919
21.06.2010;12.8877
22.06.2010;12.8848
23.06.2010;12.8757
24.06.2010;12.8643
25.06.2010;12.8516
26.06.2010;12.8516
27.06.2010;12.8516
28.06.2010;12.8292
29.06.2010;12.834
30.06.2010;12.8402
01.07.2010;12.84
02.07.2010;12.8386
03.07.2010;12.8386
04.07.2010;12.8386
05.07.2010;12.837
06.07.2010;12.8323
07.07.2010;12.8277
08.07.2010;12.8054
09.07.2010;12.786
10.07.2010;12.786
11.07.2010;12.786
12.07.2010;12.7691
13.07.2010;12.7358
14.07.2010;12.702
15.07.2010;12.6482
16.07.2010;12.607
17.07.2010;12.607
18.07.2010;12.607
19.07.2010;12.5607
20.07.2010;12.4894
21.07.2010;12.4612
22.07.2010;12.4238
23.07.2010;12.3641
24.07.2010;12.3641
25.07.2010;12.3641
26.07.2010;12.3426
27.07.2010;12.3256
28.07.2010;12.3042
29.07.2010;12.2805
30.07.2010;12.2698
31.07.2010;12.2698
01.08.2010;12.2698
02.08.2010;12.2651
03.08.2010;12.2402
04.08.2010;12.2004
05.08.2010;12.1578
06.08.2010;12.1196
07.08.2010;12.1196
08.08.2010;12.1196
09.08.2010;12.0174
10.08.2010;11.9842
11.08.2010;11.954
12.08.2010;11.9258
13.08.2010;11.8809
14.08.2010;11.8809
15.08.2010;11.8809
16.08.2010;11.8979
17.08.2010;11.9573
18.08.2010;12.0068
19.08.2010;12.1798
20.08.2010;12.2982
21.08.2010;12.2982
22.08.2010;12.2982
23.08.2010;12.3479
24.08.2010;12.3374
25.08.2010;12.2472
26.08.2010;12.1999
27.08.2010;12.1999
28.08.2010;12.1999
29.08.2010;12.1999
30.08.2010;12.1999
31.08.2010;12.1999
01.09.2010;12.1714
